max_elev_deg_skl,power_mW_skl,skl_bits
42.0,3.1306122448979594,86.54657251430768
43.0,3.33265306122449,220.37212792063252
44.0,3.5346938775510206,363.9022882236682
45.0,3.736734693877551,528.3208027954374
46.0,3.736734693877551,698.2834198057658
47.0,3.938775510204082,888.108337355849
48.0,4.140816326530612,1087.8481589700236
49.0,4.140816326530612,1286.53900596241
50.0,4.3428571428571425,1503.6276476983862
51.0,4.3428571428571425,1725.4520679755465
52.0,4.544897959183674,1944.4068271681085
53.0,4.746938775510204,2175.114243748602
54.0,4.746938775510204,2413.6122680556387
55.0,4.746938775510204,2652.844823544969
56.0,4.948979591836735,2880.001901732309
57.0,4.948979591836735,3123.0866197757427
58.0,4.948979591836735,3364.9142361499785
59.0,4.948979591836735,3604.864130234075
60.0,5.151020408163265,3845.7852643442316
61.0,5.151020408163265,4084.4317177949893
62.0,5.151020408163265,4305.492369777484
63.0,5.151020408163265,4536.389062429739
64.0,5.353061224489796,4763.591082220967
65.0,5.353061224489796,4989.618904668431
66.0,5.353061224489796,5208.997058986229
67.0,5.353061224489796,5422.46055779867
68.0,5.353061224489796,5629.617821306544
69.0,5.353061224489796,5814.9029837040625
70.0,5.353061224489796,6008.250389482045
71.0,5.555102040816326,6198.512543051668
72.0,5.353061224489796,6372.504282831361
73.0,5.555102040816326,6552.049437431678
74.0,5.555102040816326,6716.393071950007
75.0,5.555102040816326,6872.091404480919
76.0,5.555102040816326,7018.892205988975
77.0,5.555102040816326,7156.563652850822
78.0,5.757142857142857,7278.832659784316
79.0,5.555102040816326,7403.672353568721
80.0,5.757142857142857,7513.10248270282
81.0,5.757142857142857,7613.505830763651
82.0,5.757142857142857,7703.745403860194
83.0,5.757142857142857,7783.686383965019
84.0,5.555102040816326,7848.633426144982
85.0,5.757142857142857,7912.20954444089
86.0,5.757142857142857,7943.7298956266495
87.0,5.757142857142857,7981.429824463315
88.0,5.757142857142857,8008.293974595753
89.0,5.757142857142857,8024.594760384614
90.0,5.757142857142857,8027.239423529515
