max_elev_deg_skl,power_mW_skl,skl_bits
21.0,3.736734693877551,243.90185720877395
22.0,4.3428571428571425,841.005236375981
23.0,4.948979591836735,1657.244220758747
24.0,5.353061224489796,2678.523553652767
25.0,5.757142857142857,3864.535619081586
26.0,6.161224489795918,5210.568496633606
27.0,6.3632653061224485,6727.848893022744
28.0,6.5653061224489795,8385.689296036631
29.0,6.7673469387755105,10153.086844283007
30.0,6.7673469387755105,12063.614415362867
31.0,6.969387755102041,14078.831061739147
32.0,7.171428571428572,16212.888740855287
33.0,7.171428571428572,18461.487258917547
34.0,7.373469387755102,20771.957909188288
35.0,7.373469387755102,23168.39191802628
36.0,7.373469387755102,25633.835917218694
37.0,7.575510204081633,28194.574870290624
38.0,7.373469387755102,30771.29586676536
39.0,7.575510204081633,33439.51471649104
40.0,7.575510204081633,36157.90762025681
41.0,7.575510204081633,38888.50323873594
42.0,7.777551020408163,41700.61633416565
43.0,7.777551020408163,44529.70406909089
44.0,7.777551020408163,47348.264631782586
45.0,7.777551020408163,50220.572924128355
46.0,7.979591836734694,53075.68481075119
47.0,7.979591836734694,55966.80459921445
48.0,7.979591836734694,58862.839106108535
49.0,7.979591836734694,61712.65828968659
50.0,8.181632653061225,64575.68909285881
51.0,7.979591836734694,67479.88558534301
52.0,7.979591836734694,70285.22277329474
53.0,7.979591836734694,73132.70541133083
54.0,8.181632653061225,75867.31030216129
55.0,8.181632653061225,78706.97594137873
56.0,8.181632653061225,81450.05595494929
57.0,8.181632653061225,84154.06737797699
58.0,8.181632653061225,86797.26719042804
59.0,8.181632653061225,89414.89465742247
60.0,8.181632653061225,91987.90156397416
61.0,8.181632653061225,94495.66661057269
62.0,8.181632653061225,96952.2025766708
63.0,8.181632653061225,99373.0838652062
64.0,8.181632653061225,101715.27065677175
65.0,8.181632653061225,103923.93084486225
66.0,8.181632653061225,106172.63418450905
67.0,8.181632653061225,108312.56895382557
68.0,8.383673469387755,110336.33057089275
69.0,8.181632653061225,112309.09848445587
70.0,8.181632653061225,114286.97213041392
71.0,8.181632653061225,116105.56209021254
72.0,8.181632653061225,117830.21798316741
73.0,7.979591836734694,119431.90227176022
74.0,8.585714285714285,120908.88434071402
75.0,8.383673469387755,122598.8067035148
76.0,8.585714285714285,123859.61938389635
77.0,8.181632653061225,125353.59021839945
78.0,8.181632653061225,126548.95070296727
79.0,8.181632653061225,127681.63377517257
80.0,8.181632653061225,128719.67895606524
81.0,8.383673469387755,129623.843063696
82.0,8.383673469387755,130497.7783294066
83.0,8.383673469387755,131247.00418450902
84.0,8.383673469387755,131899.32880379257
85.0,8.383673469387755,132432.14543967767
86.0,8.383673469387755,132904.66786393162
87.0,8.181632653061225,133263.73629942833
88.0,8.181632653061225,133515.494713766
89.0,8.181632653061225,133666.66240992883
90.0,8.181632653061225,133716.9780456143
