max_elev_deg_skl,power_mW_skl,skl_bits
25.0,3.938775510204082,387.5532015905224
26.0,4.3428571428571425,891.4851472703098
27.0,4.746938775510204,1529.3606623032088
28.0,5.151020408163265,2269.8388083253417
29.0,5.555102040816326,3125.2465258600246
30.0,5.757142857142857,4077.094168081065
31.0,6.161224489795918,5091.245039518934
32.0,6.161224489795918,6213.48684329409
33.0,6.3632653061224485,7401.601841942335
34.0,6.5653061224489795,8674.432374478853
35.0,6.5653061224489795,9991.144164267134
36.0,6.7673469387755105,11361.595188426742
37.0,6.969387755102041,12765.947857245996
38.0,6.969387755102041,14263.769682388493
39.0,6.969387755102041,15772.143115923353
40.0,7.171428571428572,17310.729545213213
41.0,7.171428571428572,18907.20199015932
42.0,7.373469387755102,20497.252978551554
43.0,7.373469387755102,22147.591784146007
44.0,7.373469387755102,23790.051186748908
45.0,7.373469387755102,25470.500596347283
46.0,7.373469387755102,27135.764999457333
47.0,7.373469387755102,28832.397687889526
48.0,7.575510204081633,30543.20312757525
49.0,7.575510204081633,32226.414304035177
50.0,7.575510204081633,33932.7135393615
51.0,7.777551020408163,35621.59475018218
52.0,7.777551020408163,37294.03959930106
53.0,7.575510204081633,38976.764101395354
54.0,7.575510204081633,40639.205271075945
55.0,7.777551020408163,42313.34751854466
56.0,7.777551020408163,43924.54528021814
57.0,7.777551020408163,45541.37874600582
58.0,7.777551020408163,47134.373439873874
59.0,7.777551020408163,48701.14788432125
60.0,7.777551020408163,50232.21624432353
61.0,7.777551020408163,51747.97471881668
62.0,7.777551020408163,53195.98878458043
63.0,7.777551020408163,54637.17057967477
64.0,7.979591836734694,56043.871750081016
65.0,7.979591836734694,57409.08231273069
66.0,7.979591836734694,58735.11904133059
67.0,7.979591836734694,60038.682390835165
68.0,7.979591836734694,61285.04043697436
69.0,7.979591836734694,62458.05226655898
70.0,7.979591836734694,63613.30949963672
71.0,7.979591836734694,64720.87856984533
72.0,7.777551020408163,65742.84649387148
73.0,7.777551020408163,66747.86298176671
74.0,7.777551020408163,67701.66135968368
75.0,7.979591836734694,68649.45867320054
76.0,7.777551020408163,69451.28932410777
77.0,8.181632653061225,70265.93222737954
78.0,7.979591836734694,71038.41417336516
79.0,7.979591836734694,71723.32735196814
80.0,7.979591836734694,72351.23841433375
81.0,8.181632653061225,72896.09948972691
82.0,8.181632653061225,73409.58401805873
83.0,7.979591836734694,73886.30579226332
84.0,7.979591836734694,74279.9166415476
85.0,7.979591836734694,74613.68182663724
86.0,8.181632653061225,74837.58815087537
87.0,8.181632653061225,75051.19469002052
88.0,7.979591836734694,75223.77954375818
89.0,7.979591836734694,75315.24409114498
90.0,7.979591836734694,75279.45606709576
