max_elev_deg_skl,power_mW_skl,skl_bits
34.0,3.33265306122449,196.64991524551766
35.0,3.5346938775510206,412.6920242815346
36.0,3.938775510204082,662.6192442678698
37.0,4.140816326530612,953.1599455715544
38.0,4.3428571428571425,1262.9992088711829
39.0,4.544897959183674,1597.4507307682059
40.0,4.544897959183674,1966.9347659146574
41.0,4.746938775510204,2345.997190898967
42.0,4.948979591836735,2754.221697257112
43.0,4.948979591836735,3180.458311316021
44.0,5.151020408163265,3607.819884720972
45.0,5.353061224489796,4057.4466794325785
46.0,5.353061224489796,4511.0114191445255
47.0,5.353061224489796,4985.458071793256
48.0,5.353061224489796,5465.003893958718
49.0,5.555102040816326,5939.312410353164
50.0,5.555102040816326,6431.965120024318
51.0,5.555102040816326,6926.10916753507
52.0,5.757142857142857,7425.55425064937
53.0,5.757142857142857,7909.055691654678
54.0,5.757142857142857,8407.124865370395
55.0,5.757142857142857,8902.418338971132
56.0,5.959183673469387,9398.595757125753
57.0,5.959183673469387,9890.864602251
58.0,5.959183673469387,10359.468310875272
59.0,6.161224489795918,10832.040115633725
60.0,5.959183673469387,11312.374223513973
61.0,6.161224489795918,11778.05153172465
62.0,6.161224489795918,12236.819869006187
63.0,6.161224489795918,12689.082501715206
64.0,6.161224489795918,13125.096249964558
65.0,6.161224489795918,13539.020904238223
66.0,6.161224489795918,13955.33925113743
67.0,6.161224489795918,14361.142781891274
68.0,6.161224489795918,14753.076578995355
69.0,6.161224489795918,15131.492316350977
70.0,6.3632653061224485,15497.295344192567
71.0,6.3632653061224485,15846.161995373626
72.0,6.3632653061224485,16187.390827268897
73.0,6.3632653061224485,16509.213391603054
74.0,6.3632653061224485,16814.961930145368
75.0,6.3632653061224485,17104.220285723717
76.0,6.3632653061224485,17376.607081931437
77.0,6.3632653061224485,17625.38082443157
78.0,6.3632653061224485,17848.95918692835
79.0,6.3632653061224485,18068.637576230605
80.0,6.3632653061224485,18270.157156281344
81.0,6.3632653061224485,18443.93230829723
82.0,6.3632653061224485,18617.716897099872
83.0,6.3632653061224485,18763.312734169882
84.0,6.3632653061224485,18883.48007123676
85.0,6.3632653061224485,18993.53596644648
86.0,6.3632653061224485,19085.239421057973
87.0,6.3632653061224485,19151.961978609488
88.0,6.3632653061224485,19197.51841332712
89.0,6.3632653061224485,19232.302422294397
90.0,6.3632653061224485,19242.122455331108
