"Time","Atmospheric","Diffraction","horizonAngle","distance"
364,397.182832997478,48.978386092787815,0.044598831836043476,2.6988575082069654e6
363,379.9506129738014,48.95596640427081,0.10736308056164337,2.6919002562381993e6
362,363.3013384117331,48.93348922196474,0.17028913398089376,2.684943166389253e6
361,347.22724201630353,48.91095428023039,0.23337824155005796,2.6779862483205753e6
360,331.72042383915,48.88836131170373,0.29663166535651037,2.6710295117712347e6
359,316.7728484565874,48.86571004728283,0.3600506802753815,2.6640729665599316e6
358,302.37634208376807,48.84300021611465,0.42363657412821554,2.6571166225860203e6
357,288.52258962332434,48.82023154558183,0.4873906478437719,2.650160489830554e6
356,275.2031316467871,48.79740376128926,0.5513142156214319,2.6432045783573403e6
355,262.40936130719064,48.774516587050705,0.6154086050970097,2.6362488983140127e6
354,250.1325211812241,48.751569744875184,0.6796751575107033,2.6292934599331236e6
353,238.36370003906552,48.72856295495342,0.7441152278778089,2.62233827353325e6
352,227.09382954022328,48.70549593564398,0.8087301851616797,2.615383349520117e6
351,216.3136808534485,48.68236840345961,0.8735214124494868,2.6084286983877397e6
350,206.0138611989172,48.65918007305319,0.9384903071303703,2.601474330719582e6
349,196.18481031070024,48.635930657203836,1.0036382810762554,2.594520257189736e6
348,186.81679681752325,48.6126198668027,1.06896676082545,2.5875664885641136e6
347,177.89991453980508,48.589247410838894,1.1344771877688746,2.5806130357016665e6
346,169.42407870087416,48.565812996385105,1.200171018338956,2.573659909555616e6
345,161.3790220501586,48.542316328583325,1.2660497242015976,2.5667071211747066e6
344,153.7542908962054,48.51875711063033,1.3321147924507806,2.5597546817044807e6
343,146.53924104721474,48.49513504376317,1.398367725806114,2.5528026023885706e6
342,139.723033656759,48.4714498272445,1.4648100428133566,2.54585089457001e6
341,133.29463097228236,48.4477011583479,1.5314432780480065,2.5388995696925716e6
340,127.24279198392517,48.42388873234303,1.5982689823219463,2.5319486393021224e6
339,121.55606797116053,48.4000122424808,1.6652887228929234,2.524998115048001e6
338,116.22279794457505,48.37607137997825,1.7325040836776504,2.518048008684413e6
337,111.23110398019986,48.35206583400367,1.7999166654676941,2.5110983320718617e6
336,106.56888644358227,48.327995291661274,1.8675280861488923,2.504149097178583e6
335,102.22381910080267,48.30385943797608,1.935339980924043,2.4972003160820203e6
334,98.18334411354006,48.27965795587857,2.0033540025387873,2.490252000970316e6
333,94.4346669151671,48.255390526189224,2.071571821511312,2.483304164143822e6
332,90.96475096486334,48.231056827603176,2.1399951263650543,2.476356818016648e6
331,87.7603123765341,48.2066565366745,2.208625623865498,2.469409975118222e6
330,84.80781441935453,48.18218932780073,2.2774650392600515,2.4624636480948855e6
329,82.09346188655718,48.15765487320701,2.346515116522058,2.455517849711504e6
328,79.60319532907556,48.13305284293041,2.4157776185982773,2.4485725928531205e6
327,77.32268515050674,48.108382904804046,2.4852543276602357,2.4416278905266193e6
326,75.23732555977526,48.083644724441086,2.554947045359513,2.434683755862427e6
325,73.33222837778341,48.05883796521886,2.624857593086833,2.427740202116239e6
324,71.59221669421069,48.03396228826272,2.6949878122353708,2.420797242670775e6
323,70.00181837054117,48.00901735242989,2.765339564467871,2.4138548910375615e6
322,68.54525938525843,47.98400281429337,2.835914731988114,2.406913160858748e6
321,67.20645701705403,47.95891832812555,2.906715217816535,2.3999720659089503e6
