"Time","Atmospheric","Diffraction","horizonAngle","distance"
364,399.4157012684761,47.71526871854004,0.03663121016723125,2.699741987273485e6
363,382.1154606863793,47.692865126725565,0.09935046452147153,2.692787429983722e6
362,365.398724578095,47.67040416597293,0.16223111057960476,2.6858330476484797e6
361,349.25774822941344,47.64788557191353,0.22527439266377472,2.6788788500239593e6
360,333.68465489724053,47.62530907846976,0.2884815676493006,2.67192484694591e6
359,318.6714330049842,47.602674417842266,0.3518539051196309,2.6649710483306497e6
358,304.2099332744171,47.579981320496955,0.41539268752369707,2.6580174641761025e6
357,290.2918657925584,47.55722951515196,0.47909921033532554,2.651064104562849e6
356,276.9087970118743,47.53441872876455,0.5429747822151645,2.644110979655193e6
355,264.05214668224517,47.511548686517955,0.6070207251748215,2.637158099702254e6
354,251.71318471296843,47.48861911180799,0.6712383747434544,2.6302054750390607e6
353,239.8830279630892,47.46562972622975,0.7356290801367925,2.623253116087672e6
352,228.55263695830075,47.44258024956412,0.8001942044285464,2.6163010333583136e6
351,217.71281253254156,47.41947039976421,0.8649351247245527,2.609349237450534e6
350,207.35419239251718,47.39629989294173,0.9298532323391691,2.6023977390543683e6
349,197.46724760312892,47.37306844335326,0.9949499329745245,2.595446548951539e6
348,188.04227899192284,47.34977576338643,1.06022664690219,2.5884956780166538e6
347,179.06941347047484,47.32642156354601,1.1256848091476885,2.581545137218437e6
346,170.5386002706643,47.30300555243997,1.1913258696777351,2.5745949376209797e6
345,162.43960709372584,47.27952743676533,1.2571512935900628,2.567645090385e6
344,154.7620161698198,47.25598692129408,1.3231625613064197,2.560695606769134e6
343,147.49522022597841,47.23238370885889,1.3893611687679346,2.5537464981312356e6
342,140.62841835999987,47.20871750033886,1.455748627633846,2.5467977759297136e6
341,134.15061181799706,47.18498799464499,1.5223264654829967,2.539849451724871e6
340,128.0505996731378,47.161194888705815,1.58909622601833,2.5329015371802785e6
339,122.31697440306564,47.13733787745277,1.656059469274498,2.525954044064166e6
338,116.93811736343058,47.11341665380558,1.7232177718286215,2.5190069842508356e6
337,111.90219415490688,47.08943090865748,1.7905727270139626,2.5120603697221004e6
336,107.1971498809232,47.065380330860464,1.8581259451372893,2.505114212568739e6
335,102.81070429338811,47.04126460721036,1.9258790536990391,2.498168524991985e6
334,98.73034682348094,47.01708342243193,1.993833697617097,2.4912233193050288e6
333,94.94333149459015,46.99283645916375,2.061991539453847,2.484278607934551e6
332,91.43667171435527,46.96852339794317,2.130354259646736,2.4773344034222797e6
