"Time","Atmospheric","Diffraction","horizonAngle","distance"
360,401.8372785753806,47.72506348212261,0.02803142627755871,2.700696967995607e6
359,384.67293610446217,47.702951958009194,0.08993295945743533,2.693830531586293e6
358,368.0796098991112,47.680786028249,0.15198749557402447,2.6869647220699415e6
357,352.04976252930965,47.65856546210258,0.2141961644289523,2.680099552550752e6
356,336.5757334705949,47.636290027567405,0.2765601065220082,2.6732350362451095e6
355,321.649736595811,47.61395949137181,0.33908047317145434,2.6663711864829864e6
354,307.2638576127816,47.59157361896895,0.40175842663623457,2.659508016709369e6
353,293.4100514468106,47.569132174530786,0.46459514023952625,2.6526455404857e6
352,280.0801395666937,47.5466349209421,0.5275917984938134,2.6457837714913404e6
351,267.2658072528716,47.52408161979453,0.5907495972278239,2.6389227235250594e6
350,254.95860080653586,47.50147203138074,0.6540697437146673,2.632062410506544e6
349,243.14992469814575,47.47880591468845,0.7175534568020209,2.62520284647793e6
348,231.8310386541259,47.45608302739468,0.7812019670435371,2.6183440456053545e6
347,220.99305468015336,47.433303125859936,0.8450165168322824,2.6114860221805344e6
346,210.62693401968227,47.410465965122484,0.9089983605356007,2.604628790622371e6
345,200.72348404611583,47.387571298892645,0.9731487646318716,2.5977723654785687e6
344,191.27335508712144,47.36461887954722,1.0374690078489628,2.590916761427292e6
343,182.26703717951807,47.34160845812384,1.1019603813042909,2.5840619932788336e6
342,173.6948567530637,47.318539784315504,1.1666241886468296,2.577208075977318e6
341,165.54697324151488,47.29541260646508,1.2314617462008748,2.5703550246024253e6
340,157.8133756192517,47.27222667155996,1.296474383111573,2.563502854371145e6
339,150.4838788616963,47.24898172522674,1.3616634414924453,2.5566515806395514e6
338,143.54812032777426,47.22567751172589,1.427030276574596,2.5498012189046103e6
337,136.9955560625468,47.20231377394672,1.4925762568579164,2.542951784806015e6
336,130.81545701815102,47.17889025340217,1.5583027642641556,2.5361032941280394e6
335,124.99690519109286,47.15540669022389,1.6242111942921573,2.529255762801436e6
334,119.52878967397582,47.131862823157256,1.6903029561746508,2.522409206905348e6
333,114.39980261956083,47.108258389556596,1.7565794730374387,2.5155636426692614e6
332,109.59843511513849,47.08459312538042,1.8230421820603873,2.5087190864749798e6
331,105.11297296505909,47.060866765186844,1.8896925346404871,2.501875554858636e6
330,100.93149237924,47.03707904212902,1.9565319965569845,2.4950330645127273e6
329,97.04185556540031,47.01322968795075,2.0235620481388032,2.48819163228819e6
328,93.43170622276938,46.989318432982174,2.090784184433589,2.481351275196502e6
327,90.08846493483874,46.9653450061356,2.158199915379711,2.4745120104118176e6
326,86.99932445884784,46.941309134901516,2.225810765979414,2.4676738552731387e6
325,84.15124490941753,46.91721054534452,2.293618276475242,2.460836827286516e6
324,81.5309488338975,46.89304896209971,2.3616240025277118,2.454000944127287e6
323,79.12491617674212,46.868824108368905,2.429829515396068,2.4471662236423497e6
322,76.91937913030807,46.84453570591725,2.49823640212078,2.440332683852473e6
321,74.90031686930881,46.820183475069825,2.5668462657084663,2.4335003429546375e6
320,73.05345016611965,46.79576713470844,2.635660725319411,2.4266692193244183e6
319,71.36423588407472,46.77128640226869,2.704681416457167,2.4198393315184093e6
318,69.81786134579643,46.74674099373706,2.7739099911604783,2.4130106982766734e6
317,68.39923857352005,46.72213062364828,2.843348118198158,2.4061833385252473e6
316,67.0929983983406,46.69745500508285,2.9129974832656864,2.3993572713786713e6
315,65.88348443516836,46.67271384966476,2.9828597891849506,2.392532516142573e6
314,64.40861200372197,46.6479068675594,3.052936756105954,2.385709092316281e6
313,62.894783822215125,46.62303376747168,3.1232301217115745,2.378887019595485e6
312,61.45161293268657,46.5980942566444,3.193741641424399,2.372066317874944e6
311,60.07630212960765,46.57308804085679,3.264473088616537,2.365247007251224e6
310,58.76599850811259,46.54801482442333,3.335426254821867,2.358429108025498e6
309,57.517792216584944,46.52287431019281,3.406602949951019,2.351612640706377e6
308,56.328715179842604,46.49766619954755,3.478005002508994,2.3447976260127886e6
307,55.19573979218681,46.47239019240306,3.5496342598154946,2.3379840848769117e6
306,54.11577757956047,46.44704598720777,3.621492588228108,2.331172038447148e6
305,53.08567783004795,46.421633280943155,3.6935818733680654,2.324361508091148e6
304,52.10222619191642,46.39615176912416,3.7659040203490552,2.3175525153988805e6
303,51.16214323839236,46.37060114579987,3.8384609540086414,2.310745082185764e6
302,50.26208299833165,46.344981103554446,3.9112546191427553,2.3039392304958357e6
301,49.39863145193225,46.31929133350855,3.9842869807428416,2.297134982604977e6
300,48.505609466989185,46.293531525320915,4.057560024236177,2.2903323610242e6
299,47.62676499617858,46.267701367190384,4.131075755729019,2.2835313885029755e6
298,46.77827452672861,46.241800545858176,4.204836202252608,2.276732088032624e6
297,45.95912538459987,46.215828746610725,4.278843412012593,2.26993448284976e6
296,45.168282811004715,46.18978565328267,4.35309945464097,2.263138596439797e6
295,44.404689439947816,46.1636709482604,4.427606421451505,2.2563444525405024e6
294,43.66726476291338,46.13748431248594,4.50236642569799,2.2495520751456213e6
293,42.954904580361365,46.11122542546121,4.5773816028358905,2.2427614885085537e6
292,42.26648043969701,46.08489396525286,4.652654110786889,2.2359727171460968e6
291,41.60083905936019,46.05848960849744,4.728186130206707,2.229185785842248e6
290,40.95680173867447,46.032012030407,4.803979864756291,2.222400719652071e6
289,40.333163753091064,46.005460904775326,4.880037541375942,2.2156175439056307e6
288,39.72869373444282,45.978835903984525,4.956361410563048,2.208836284211991e6
287,39.13185485073431,45.952136699012186,5.032953746652781,2.2020569664632785e6
286,38.5383197789542,45.92536295943907,5.109816848102329,2.1952796168388207e6
285,37.961231393852366,45.898514353457315,5.18695303777844,2.1885042618093463e6
284,37.40012206949254,45.871590547879244,5.2643646632483465,2.1817309281412633e6
283,36.85451301568032,45.84459120814675,5.342054097073829,2.1749596429010085e6
282,36.323913999413,45.81751599834128,5.42002373710924,2.168190433459469e6
281,35.807823059195236,45.79036458119437,5.498276006802346,2.161423327496477e6
280,35.30572621202204,45.763136618099,5.576813355499147,2.154658353005392e6
279,34.817097152840525,45.73583176912139,5.655638258751732,2.1478955382977445e6
278,34.341396946283666,45.708449693013684,5.734753218630089,2.141134912007976e6
277,33.87807371047543,45.680990047227176,5.8141607640370125,2.13437650309825e6
276,33.42656229269065,45.65345248792639,5.893863451026891,2.127620340863351e6
275,32.9862839366552,45.62583667000386,5.973863863127857,2.120866454935662e6
274,32.55032238637438,45.59814224709563,6.054164611667476,2.1141148752902374e6
273,32.121547824377416,45.57036887159772,6.1347683361021925,2.1073656322499546e6
272,31.702769311835183,45.54251619468324,6.2156777043502025,2.1006187564907586e6
271,31.29373119280971,45.514583866320436,6.296895413128212,2.0938742790470028e6
270,30.894171125998263,45.486571535291695,6.378424188291296,2.0871322313168696e6
269,30.503819909017597,45.458478849213286,6.460266785176992,2.0803926450679002e6
268,30.122401298008434,45.430305454556205,6.542425988952512,2.0736555524426138e6
267,29.74963182242669,45.40205099666791,6.6249046149661455,2.0669209859642223e6
266,29.385220594895753,45.37371511979502,6.707705509101538,2.0601889785424531e6
265,29.028869115976715,45.34529746710721,6.79083154813646,2.0534595634794668e6
264,28.68027107372445,45.316797680721876,6.874285640104515,2.0467327744758835e6
263,28.339112137880957,45.28821540173021,6.958070724660966,2.0400086456369134e6
262,28.002878029688606,45.25955027022426,7.042189773451932,2.033287211478598e6
261,27.671327750378925,45.23080192532505,7.126645790487172,2.0265685069341555e6
260,27.34649007871806,45.201970005212175,7.211441812516683,2.0198525673604496e6
259,27.02821127652632,45.173054147154346,7.296580909410834,2.01313942854456e6
258,26.716333204384927,45.144053987541426,7.382066184543806,2.0064291267104812e6
257,26.410693200015054,45.11496916191767,7.467900775180994,1.9997216985259333e6
256,26.111123953298403,45.085799305016394,7.554087852869542,1.9930171811092978e6
255,25.817453377842213,45.056544050795964,7.64063062383273,1.9863156120366738e6
254,25.529504478993918,45.02720303247733,7.727532329367562,1.9796170293490689e6
253,25.247095218204716,44.99777588258297,7.814796246245821,1.9729214715597052e6
252,24.970038373638953,44.96826223297742,7.902425687118736,1.9662289776614713e6
251,24.698141396925802,44.938661714909365,7.9904240009246355,1.9595395871344986e6
250,24.429168952290368,44.90897395905537,8.078794573300101,1.9528533399538773e6
249,24.16479268904952,44.87919859556528,8.167540826994385,1.946170276597511e6
248,23.905163265260132,44.84933525410938,8.25666622228688,1.9394904380541146e6
247,23.650179129317326,44.81938356392733,8.346174257407817,1.9328138658313563e6
